item_type,item_id,title,decision,source_count
public_health_event,event-f5626c18508f4245845ad9f5,世卫组织称与游轮相关的汉坦病毒疫情已结束 - MSN,archive,1
public_health_event,event-26b602c8258690bc846fe75c,中文标题暂不可用,headline,1
public_health_event,event-33549c5795112a93e676a38b,中文标题暂不可用,headline,1
public_health_event,event-2366198c49f5736420192412,中文标题暂不可用,archive,1
public_health_event,event-ab46cb86d2ebbf1fe1d19eaf,中文标题暂不可用,headline,1
public_health_event,event-18f46ce4e14246a3ffa46d17,中文标题暂不可用,archive,1
public_health_event,event-aeb2e1fde570e7a530cbd5c5,中文标题暂不可用,archive,1
public_health_event,event-272bdcebe566ec98a899f498,中文标题暂不可用,headline,1
public_health_event,event-93ddc22d7ee772e09637d168,中文标题暂不可用,headline,1
public_health_event,event-d2233985b9d2c3fd8720b902,每日简报：美国人感染汉塔病毒 - MSN,headline,1
public_health_event,event-8b271d84ad93e74d4d44cc28,如果你在游轮上感染汉塔病毒，游轮公司可能不欠你一分钱——原因在这里 - MSN,headline,1
public_health_event,event-1e0f5398e094794beb99c081,中文标题暂不可用,headline,1
public_health_event,event-c473cca57dbd113a6b59df4d,特朗普担心宋病毒爆发，第三位英国人可能感染,headline,1
public_health_event,event-6340ddb1f2b1b9a16b01cb57,WHO 宣布宋病毒爆发结束,headline,1
public_health_event,event-620c10166255d52020c1aef6,中文标题暂不可用,headline,1
public_health_event,event-fe1e8ed3ff4d114ccd6deafd,中文标题暂不可用,headline,1
public_health_event,event-6cff8b40dfd72fd1be3d2d53,骗子已经利用汉坦病毒诈骗他人 - MSN,headline,1
public_health_event,event-744e6e1fa522d3b0ed19752e,北美确认首例邮轮上汉坦病毒病例 - MSN,headline,1
public_health_event,event-987d719be6edec46323c7c7c,观点：汉坦病毒让我重新考虑世界卫生组织。特朗普也应该这样做。 - MSN,headline,1
public_health_event,event-4f158359be7dbb6ef3cb5708,因汉塔病毒关闭美国而威胁大规模枪击案，阿肯色州男子被捕 - MSN,headline,1
public_health_event,event-c46464efb63e9a4abadb16c1,涉汉坦病毒邮轮乘客陆续疏散归国 世卫组织：全球传播风险“低” - 财联社,archive,1
public_health_event,event-5ae9bd68779ca49e62a8effd,汉坦病毒邮轮疫情“零号病人”身份曝光 - 凤凰网,archive,1
public_health_event,event-e78493ffc14aeae528f023d8,"病死率31.7%!阿根廷今年新增42例汉坦病毒感染病例,已向多国提供检测试剂以协助调查 - 新浪财经",archive,1
public_health_event,event-a482cf3a72992f3a283152b4,综述：人工智能在汉坦病毒肺综合征胸部影像中的应用：罕见疾病影像实践考量 - 生物通,headline,1
public_health_event,event-a21311e7a80c6c2f1966e80f,突发公共卫生警报！豪华探险邮轮疑现汉坦病毒疫情，3人死亡、世卫组织紧急介入 - FX168,archive,1
public_health_event,event-a580ffd5c3d07545fa00ee2a,当地时间2日，世卫组织总干事谭德塞宣布，与邮轮有关的汉坦病毒疫情已结束，最后一名接触者完成了隔离且病毒检测结果呈阴性。此次疫情共导致13人感染、3人死亡。 - 搜狐网,archive,1
public_health_event,event-10c027eb3b8928947f1d4efe,禽流感 埃博拉 汉坦病毒……为什么感觉传染病越来越多了？ - SBS,archive,1
public_health_event,event-cc5073548c66ca0c1e8b73ef,涉汉坦病毒邮轮随船医生感染，肿瘤医生游客接手 - 快媒体,archive,1
